rank,Youtuber,subscribers,video views,video count,category,started
93,Yaki WongYaki Wong ,"237,000","31,914,834",162,Travel & Events,2007
94,香港花生香港花生 ,"233,000","32,669,512","4,251",News & Politics,2014
95,Ashly 老陳Ashly 老陳 ,"231,000","658,877",4,People & Blogs,2011
96,Frankie TechFrankie Tech ,"230,000","58,442,980","1,080",Science & Technology,2009
97,TVB Drama - Crime & Mystery 神秘頻道 TVB Drama - Crime & Mystery 神秘頻道 ,"230,000","13,006,445",754,Entertainment,2017
98,Eason ChanEason Chan ,"230,000","117,011,292",70,Entertainment,2012
99,Elva NiElva Ni ,"230,000","17,643,297",200,People & Blogs,2012
100,YOUKU SHOWYOUKU SHOW ,"228,000","92,069,451","7,750",Entertainment,2018
101,Muse木棉花-HKMuse木棉花-HK ,"227,000","47,936,604","4,090",Film & Animation,2018
102,冷淡熊冷淡熊 ,"223,000","102,595,109",312,Film & Animation,2020
103,馬米高 Michael MMG馬米高 Michael MMG ,"222,000","21,054,811",206,Comedy,2015
104,屯門畫室 Tuen Mun Studio屯門畫室 Tuen Mun Studio ,"220,000","22,565,221",932,Education,2013
105,Angela Hui 許靖韻「小背心」Angela Hui 許靖韻「小背心」 ,"213,000","63,989,221",171,Music,2017
106,DONT BLINKDONT BLINK ,"212,000","60,198,945",349,Entertainment,2015
107,suechanggsuechangg ,"210,000","21,579,939",94,People & Blogs,2010
108,TD TSUNTD TSUN ,"208,000","71,751,926",629,Gaming,2012
109,IC实验室IC实验室 ,"208,000","25,432,421",203,Science & Technology,2019
110,Highlight NBAHighlight NBA ,"206,000","186,095,830","2,671",Sports,2017
111,知識命理知識命理 ,"206,000","1,770,157","1,729",People & Blogs,2016
112,啤梨頻道BarryMa TV啤梨頻道BarryMa TV ,"204,000","209,715,500","5,867",News & Politics,2019
113,EWway Music Channel 東西世界音樂頻道EWway Music Channel 東西世界音樂頻道 ,"204,000","221,345,175","2,216",Music,2018
114,mansonovomansonovo ,"203,000","47,246,532",297,Film & Animation,2011
115,Kiki & May - 隨意吃樂部Kiki & May - 隨意吃樂部 ,"203,000","41,776,892",285,People & Blogs,2017
116,AROGANTNÍAROGANTNÍ ,"201,000","30,460,703",148,Entertainment,2019
117,陳怡ChanYee陳怡ChanYee ,"198,000","72,822,140",988,Education,2016
118,香港01香港01 ,"197,000","194,851,171","11,673",News & Politics,2015
119,灿星官方频道Canxing Media Official Channel灿星官方频道Canxing Media Official Channel ,"196,000","175,547,833","5,119",Entertainment,2018
120,FlashingDroidFlashingDroid ,"195,000","52,310,855",972,Science & Technology,2012
121,雨僑Ava Liu雨僑Ava Liu ,"193,000","35,763,161",247,Entertainment,2010
122,The Best by familyThe Best by family ,"192,000","8,517,109",532,Entertainment,2015
123,Stand News 立場新聞Stand News 立場新聞 ,"192,000","15,883,912",728,News & Politics,2019
124,Sadhguru 繁體中文Sadhguru 繁體中文 ,"189,000","17,430,195",354,People & Blogs,2018
125,妈咪说MommyTalk妈咪说MommyTalk ,"189,000","18,596,238",350,Science & Technology,2019
126,Ordinary Gaming Studio平民遊戲工作室Ordinary Gaming Studio平民遊戲工作室 ,"188,000","39,859,770",353,Education,2016
127,黃子華 Dayo Wong 棟篤笑 - 官方頻道黃子華 Dayo Wong 棟篤笑 - 官方頻道 ,"186,000","38,902,775",630,Nonprofits & Activism,2014
128,Mobile Legends: Bang Bang EspañolMobile Legends: Bang Bang Español ,"186,000","43,467,268",280,Gaming,2021
129,ben's gadget reviewsben's gadget reviews ,"183,000","43,537,544",602,Science & Technology,2006
130,桂平光哥桂平光哥 ,"183,000","168,671,112","2,596",People & Blogs,2017
131,夜與白鯨夜與白鯨 ,"182,000","59,781,167",205,Film & Animation,2020
132,Dou TVDou TV ,"182,000","26,810,263",252,Entertainment,2018
133,Ho Talk Duck 好Talk得Ho Talk Duck 好Talk得 ,"180,000","50,302",24,People & Blogs,2013
134,Edwin H.Edwin H. ,"178,000","18,205,027",286,Entertainment,2009
135,MM - Mill MILKMM - Mill MILK ,"178,000","13,298,809",70,,2021
136,歪點子實驗室歪點子實驗室 ,"177,000","27,157,199",147,Howto & Style,2019
137,珍言真語 // 大紀元珍言真語 // 大紀元 ,"175,000","56,246,262","1,294",,2020
138,Now 財經 新聞Now 財經 新聞 ,"175,000","73,153,012","7,929",News & Politics,2008
139,Lok CheungLok Cheung ,"173,000","7,514,729",182,People & Blogs,2013
140,小贝的游戏食堂小贝的游戏食堂 ,"171,000","80,016,460",610,Gaming,2019
141,RedisPollyRedisPolly ,"171,000","14,432,690",133,People & Blogs,2011
142,豪Dee豪Dee ,"171,000","22,379,831",143,People & Blogs,2017
143,宅男俱樂部宅男俱樂部 ,"170,000","21,135,398",390,Gaming,2008
144,司马南频道司马南频道 ,"170,000","51,788,320","1,916",People & Blogs,2017
145,徐時論 TsuisTalk徐時論 TsuisTalk ,"168,000","32,873,552",755,News & Politics,2009
146,SzeTingWong黃詩婷SzeTingWong黃詩婷 ,"167,000","17,324,134",54,Music,2012
147,媽媽開心廚房媽媽開心廚房 ,"167,000","760,407","1,426",Howto & Style,2014
148,Boba BeatsBoba Beats ,"167,000","209,107,272",823,Music,2019
149,odyleungodyleung ,"167,000","16,027,060",243,People & Blogs,2006
150,SmilemiannSmilemiann ,"165,000","53,564,107",583,Howto & Style,2009
151,KingsanKingsan ,"163,000","7,064,010",84,Gaming,2007
152,Cynthia IpCynthia Ip ,"163,000","25,429,273",380,Howto & Style,2007
153,老洋咩咩老洋咩咩 ,"162,000","9,257,456",220,Gaming,2013
154,Susana ChachaSusana Chacha ,"160,000","21,019,458",324,Howto & Style,2013
155,爱好恐怖片的美男子爱好恐怖片的美男子 ,"160,000","45,323,511",216,Film & Animation,2017
156,佩男Puinam佩男Puinam ,"159,000","15,984,929",162,Gaming,2019
157,尬聊电影尬聊电影 ,"156,000","64,722,005",240,Film & Animation,2019
158,TheLittleBaluTheLittleBalu ,"154,000","1,176,690",29,People & Blogs,2013
159,歡樂馬介休BacalhauEnt歡樂馬介休BacalhauEnt ,"152,000","78,797,377",557,Comedy,2016
160,小超讲电影小超讲电影 ,"150,000","32,065,136",217,Film & Animation,2015
161,kayan ckayan c ,"150,000","13,362,570",124,Travel & Events,2013
162,希治閣【遊戲情報科】希治閣【遊戲情報科】 ,"149,000","24,841,795",789,Gaming,2013
163,Steven LawSteven Law ,"148,000","34,162,187","1,090",Music,2010
164,Asia HOTAsia HOT ,"148,000","66,821,587",103,Travel & Events,2017
165,英大吉來了英大吉來了 ,"147,000","27,465,372",123,News & Politics,2020
166,AUMANAUMAN ,"147,000","10,308,978",153,Music,2010
167,HTHT ,"145,000","150,499",15,Entertainment,2017
168,The One Lock 永樂The One Lock 永樂 ,"144,000","59,478,714","1,494",Gaming,2014
169,嚴政 WallaceYim嚴政 WallaceYim ,"142,000","19,933,558",336,Entertainment,2014
170,GoomusicGoomusic ,"141,000","37,195,014",515,Music,2007
171,史大郎史大郎 ,"140,000","27,743,672",146,People & Blogs,2020
172,社會邊猿人 Mr.Bamboo社會邊猿人 Mr.Bamboo ,"136,000","14,802,893",95,Film & Animation,2016
173,Candies wawaCandies wawa ,"135,000","13,154,389",55,People & Blogs,2011
174,狄達 TiKToK狄達 TiKToK ,"134,000","15,434,216",187,People & Blogs,2011
175,big big channel - 大台網big big channel - 大台網 ,"134,000","81,022,019","7,622",Entertainment,2017
176,Rock哥Rock哥 ,"132,000","13,851,347",93,People & Blogs,2018
177,목격자K목격자K ,"132,000","18,816,292",670,News & Politics,2019
178,Keith SirKeith Sir ,"132,000","26,217,318",964,Education,2011
179,八八通GossipGossip八八通GossipGossip ,"131,000","65,343,762","2,868",People & Blogs,2015
180,天堂电影天堂电影 ,"128,000","82,913,715",547,Film & Animation,2017
181,MoYung 慕容公子MoYung 慕容公子 ,"127,000","55,286,730",472,Gaming,2012
182,科学火箭叔科学火箭叔 ,"126,000","23,567,285",303,Howto & Style,2020
183,Happy KongnerHappy Kongner ,"124,000","8,024,538",191,Sports,2017
184,Celine Tam Official Fan ClubCeline Tam Official Fan Club ,"124,000","17,664,011",47,Music,2016
185,奇異小北奇異小北 ,"123,000","19,922,863",126,Howto & Style,2019
186,HongKongTimesSquareHongKongTimesSquare ,"122,000","31,136,949",283,Entertainment,2013
187,feverSound comfeverSound com ,"122,000","42,247,972","1,374",Music,2006
188,唐人影視作品展唐人影視作品展 ,"120,000","100,781,413","1,158",Entertainment,2018
189,Coach FuiCoach Fui ,"119,000","14,425,153",179,Sports,2017
190,在下葉問在下葉問 ,"119,000","44,438,622","2,334",Comedy,2011
191,Cindy楊斯雅Cindy楊斯雅 ,"118,000","34,156,965",177,Howto & Style,2010
192,卡皮君卡皮君 ,"117,000","77,926,079",564,Film & Animation,2018
193,CHINCHIN CCHINCHIN C ,"117,000","13,143,844",219,People & Blogs,2013
194,老电影故事老电影故事 ,"117,000","38,042,874","1,010",Film & Animation,2018
195,貝遊日本貝遊日本 ,"116,000","22,546,006",297,Travel & Events,2015
196,MaMa FishMaMa Fish ,"116,000","15,701,432",210,Howto & Style,2010
