Youtuber,subs,view,count,category
佩男Puinam佩男Puinam ,11.976659481202368,16.587156898802153,5.087596335232384,Gaming
尬聊电影尬聊电影 ,11.957611286231675,17.985611809839103,5.480638923341991,Film & Animation
TheLittleBaluTheLittleBalu ,11.944707881395766,13.978215970073085,3.367295829986474,People & Blogs
歡樂馬介休BacalhauEnt歡樂馬介休BacalhauEnt ,11.931635799828413,18.18239026747206,6.322565239927284,Comedy
小超讲电影小超讲电影 ,11.918390573078392,17.283279891940794,5.37989735354046,Film & Animation
kayan ckayan c ,11.918390573078392,16.407968072842408,4.820281565605037,Travel & Events
希治閣【遊戲情報科】希治閣【遊戲情報科】 ,11.911701584927597,17.028038074898618,6.670766320845874,Gaming
Steven LawSteven Law ,11.904967552746252,17.34662994708355,6.993932975223189,Music
Asia HOTAsia HOT ,11.904967552746252,18.017536744984987,4.634728988229636,Travel & Events
英大吉來了英大吉來了 ,11.898187865760873,17.128436569178326,4.812184355372417,News & Politics
AUMANAUMAN ,11.898187865760873,16.148525724018626,5.030437921392435,Music
HTHT ,11.884489021402711,11.92171171863072,2.70805020110221,Entertainment
The One Lock 永樂The One Lock 永樂 ,11.877568578558138,17.90112905860965,7.309212365692763,Gaming
嚴政 WallaceYim嚴政 WallaceYim ,11.863582336583399,16.807915201092243,5.817111159963204,Entertainment
GoomusicGoomusic ,11.856515169360305,17.431685278002185,6.244166900663736,Music
史大郎史大郎 ,11.84939770159144,17.138518336116512,4.983606621708336,People & Blogs
社會邊猿人 Mr.Bamboo社會邊猿人 Mr.Bamboo ,11.820410164718188,16.510333192604964,4.553876891600541,Film & Animation
Candies wawaCandies wawa ,11.813030057420567,16.392266025159703,4.007333185232471,People & Blogs
狄達 TiKToK狄達 TiKToK ,11.805595078933049,16.55209742097756,5.231108616854587,People & Blogs
big big channel - 大台網big big channel - 大台網 ,11.805595078933049,18.210231515201222,8.938794081433805,Entertainment
Rock哥Rock哥 ,11.790557201568507,16.44389304218622,4.532599493153256,People & Blogs
목격자K목격자K ,11.790557201568507,16.75023364826756,6.507277712385012,News & Politics
Keith SirKeith Sir ,11.790557201568507,17.0819307427385,6.871091294610546,Education
八八通GossipGossip八八通GossipGossip ,11.782952602183288,17.995172538237355,7.961370201719511,People & Blogs
天堂电影天堂电影 ,11.759785542901755,18.233311046711293,6.304448802421981,Film & Animation
MoYung 慕容公子MoYung 慕容公子 ,11.751942365440728,17.828043473863,6.156978985585555,Gaming
科学火箭叔科学火箭叔 ,11.744037185933616,16.975370079478253,5.713732805509369,Howto & Style
Happy KongnerHappy Kongner ,11.728036844587175,15.898014655229675,5.25227342804663,Sports
Celine Tam Official Fan ClubCeline Tam Official Fan Club ,11.728036844587175,16.68703985079427,3.8501476017100584,Music
奇異小北奇異小北 ,11.719939634354555,16.80737852469289,4.836281906951478,Howto & Style
HongKongTimesSquareHongKongTimesSquare ,11.711776323715394,17.253905742691465,5.645446897643238,Entertainment
feverSound comfeverSound com ,11.711776323715394,17.55906691061542,7.2254814727822945,Music
唐人影視作品展唐人影視作品展 ,11.695247021764184,18.428464501757453,7.05444965813294,Entertainment
Coach FuiCoach Fui ,11.686878772093667,16.484483976887976,5.187385805840755,Sports
在下葉問在下葉問 ,11.686878772093667,17.609619514154133,7.755338812846501,Comedy
Cindy楊斯雅Cindy楊斯雅 ,11.678439903447801,17.346477076333333,5.176149732573829,Howto & Style
卡皮君卡皮君 ,11.669929213779893,18.17127123016923,6.335054251498059,Film & Animation
CHINCHIN CCHINCHIN C ,11.669929213779893,16.391464070095637,5.389071729816501,People & Blogs
老电影故事老电影故事 ,11.669929213779893,17.454224344838025,6.917705609835305,Film & Animation
貝遊日本貝遊日本 ,11.661345470088502,16.931068490709173,5.6937321388027,Travel & Events
MaMa FishMaMa Fish ,11.661345470088502,16.56926247635022,5.3471075307174685,Howto & Style
大佬你唔好咁痴線啦dudeareyoucrazy大佬你唔好咁痴線啦dudeareyoucrazy ,11.652687407345388,14.29861240479945,6.18826412308259,Pets & Animals
falllabfalllab ,11.652687407345388,17.42568741230883,5.8998973535824915,Entertainment
penguinsixpenguinsix ,11.635143097694478,16.74937625754843,7.083387847625295,News & Politics
seanlaiseanlai ,11.626254150277232,17.96401518977769,7.774435510302958,Entertainment
cheerS beautycheerS beauty ,11.617285480294472,16.782700085416813,5.777652323222656,People & Blogs
Creamy YickCreamy Yick ,11.608235644774552,14.956012431075665,2.9444389791664403,People & Blogs
一起看剧吧一起看剧吧 ,11.608235644774552,18.34547501255831,8.265650165580329,Entertainment
東周網 Eastweek.com.hk【東周刊官方網站】東周網 Eastweek.com.hk【東周刊官方網站】 ,11.59910316121128,18.812535807483687,9.41041998369184,People & Blogs
攪屎棍 PoopStirrer攪屎棍 PoopStirrer ,11.59910316121128,17.193975334133263,5.8998973535824915,Entertainment
Garson 嘉神Garson 嘉神 ,11.589886506106357,17.69981862818277,7.3632795869630385,Gaming
AmourBeauty JMAmourBeauty JM ,11.580584113444043,16.57205576857095,5.308267697401205,People & Blogs
Kitling_雀斑妹Kitling_雀斑妹 ,11.580584113444043,16.237919269874467,4.330733340286331,People & Blogs
渔农小池渔农小池 ,11.571194373094205,18.41272770218876,7.144407180321139,People & Blogs
ERRORERROR ,11.571194373094205,16.43449512808665,3.8501476017100584,Entertainment
冤枉娛樂冤枉娛樂 ,11.571194373094205,17.472272781347773,5.717027701406222,Entertainment
MIHK.tv_Youtube第二台MIHK.tv_Youtube第二台 ,11.56171562913966,17.51983758162685,9.077151777732437,Entertainment
BETHNI YBETHNI Y ,11.532728092266408,16.45772675025812,5.733341276897746,Howto & Style
翼 WingsThunder翼 WingsThunder ,11.522875795823397,17.182012693748476,7.009408932708637,Gaming
U Magazine HK OfficialU Magazine HK Official ,11.522875795823397,17.266161946895327,8.421562960400987,
挽歌之聲挽歌之聲 ,11.512925464970229,17.208742197174306,4.983606621708336,Music
MingszeMingsze ,11.510923462299555,17.08072050482658,5.429345628954441,People & Blogs
HEYMAN LAMHEYMAN LAM ,11.50891744357269,16.16977259674226,5.214935757608986,People & Blogs
S P O O N C H A NS P O O N C H A N ,11.504893293272964,15.704497005128433,4.61512051684126,People & Blogs
夏目夏目 ,11.491946946585031,17.721579251609562,5.135798437050262,Film & Animation
翼王翼王 ,11.487607656985938,16.519446975717578,5.003946305945459,Science & Technology
ViuTV WorldViuTV World ,11.477298287327077,17.100289435073886,8.265650165580329,Entertainment
AMusic Official ChannelAMusic Official Channel ,11.474184636653797,18.989760062519064,4.990432586778736,Music
大阪ANDY哥大阪ANDY哥 ,11.465833857436378,16.868153506340104,5.823045895483019,People & Blogs
曾鎧琪 AliSon Tsang曾鎧琪 AliSon Tsang ,11.465833857436378,16.94285658038875,6.144185634125646,People & Blogs
Hak MeHak Me ,11.461632170582678,17.405074024729316,7.107425474110705,Howto & Style
Now TVNow TV ,11.460578984598019,17.15374456839974,8.641179171197228,Music
Highway RecordingHighway Recording ,11.460578984598019,16.81206749139282,6.46302945692067,Film & Animation
Hey JenniFAHey JenniFA ,11.45741275503997,16.319894210142994,5.707110264748875,Howto & Style
浙江卫视【王牌对王牌】官方频道 Ace VS Ace Channel浙江卫视【王牌对王牌】官方频道 Ace VS Ace Channel ,11.448920134994315,17.523556039729005,7.071573364211532,Entertainment
Poor travel x 2 GirlsPoor travel x 2 Girls ,11.444646624216935,16.901022976097533,6.637258031284457,Travel & Events
AC世界新聞頻道AC世界新聞頻道 ,11.440354772135393,16.318713963230312,6.1092475827643655,News & Politics
防腐辦公室防腐辦公室 ,11.436044420634271,11.025507075203857,3.4339872044851463,Gaming
光頭幫 TomFatKi光頭幫 TomFatKi ,11.434963923500517,16.861148088026795,5.204006687076795,People & Blogs
達人巷達人巷 ,11.416414564589385,16.703115714568167,5.808142489980444,Howto & Style
TIK LEETIK LEE ,11.410892739405076,18.23441417582389,8.528330935826693,Gaming
會笑的汽水會笑的汽水 ,11.406453220459712,17.07108059938707,5.3612921657094255,Comedy
am730am730 ,11.403110598963021,17.261632196351417,8.408493774492896,People & Blogs
20無限20無限 ,11.39975676686459,17.314390515194404,6.5638555265321274,Howto & Style
Auto Guyz Relation拍車男Auto Guyz Relation拍車男 ,11.398636318568101,16.88503882286818,5.950642552587727,Autos & Vehicles
HK TunesHK Tunes ,11.388495386592052,18.21313295651925,5.375278407684165,Music
pmame32pmame32 ,11.385092093460344,18.361421616923433,8.409830673087738,Film & Animation
Queenie ChanQueenie Chan ,11.364425456651784,16.070655974469755,4.442651256490317,Howto & Style
EHP Music ChannelEHP Music Channel ,11.363264690415821,16.97110275398811,1.9459101490553132,Music
JackzJackz ,11.359774285476053,18.186006595071003,6.340359303727752,News & Politics
Post76影音玩樂Post76影音玩樂 ,11.351582314561465,17.13708790650231,7.453561871643373,People & Blogs
Data MaData Ma ,11.334994256477566,17.054569055549305,6.393590753950631,Travel & Events
Benja & Momo ChannelBenja & Momo Channel ,11.331403588346838,16.310596225325927,5.204006687076795,People & Blogs
Hong Kong CricketHong Kong Cricket ,11.32779998084354,15.767648985250341,6.180016653652572,Sports
24HERBS24HERBS ,11.318126386665162,17.15146492150023,5.0689042022202315,Music
瑞森老哥Reason瑞森老哥Reason ,11.312032522590838,16.03165360277937,4.2626798770413155,People & Blogs
發兔冷知識發兔冷知識 ,11.311286523131027,11.784447667222485,3.044522437723423,Gaming
potatofish yupotatofish yu ,11.309584540952198,16.726951080264453,5.8289456176102075,People & Blogs
SAVI魔人SAVI魔人 ,11.303438240103505,17.588689201911123,8.475537516147405,Gaming
Baka Shiro小白Baka Shiro小白 ,11.292278793854607,15.596638714523667,5.717027701406222,People & Blogs
盖世猪猪丶盖世猪猪丶 ,11.283512300642423,16.494914340476363,4.795790545596741,Film & Animation
Paul GorPaul Gor ,11.280993407622939,15.620640575036703,4.465908118654584,Travel & Events
kikolimakeupkikolimakeup ,11.279731577802517,15.91246104453926,5.308267697401205,Howto & Style
Freeminder EmiFreeminder Emi ,11.278468153755746,16.73040662160508,6.300785794663244,People & Blogs
Janice Vidal衛蘭Janice Vidal衛蘭 ,11.27720313144916,17.766650155740702,4.0943445622221,People & Blogs
MADCOUPLEMADCOUPLE ,11.27720313144916,15.951648781902437,4.430816798843313,People & Blogs
麥兜Mcdull麥兜Mcdull ,11.272126978417297,16.988935190088554,4.6913478822291435,Film & Animation
Camvideo HKCamvideo HK ,11.272126978417297,18.781447437255352,9.082620630373812,Autos & Vehicles
BC ProductionBC Production ,11.26318123185884,16.739903208562843,3.8918202981106265,Entertainment
MC張天賦MC張天賦 ,11.258033215341438,16.980298999136718,3.367295829986474,Music
Yelo黃曉晴Yelo黃曉晴 ,11.25674205957782,15.425400968005889,4.0943445622221,People & Blogs
Rational Football Analysis理性分析Rational Football Analysis理性分析 ,11.25674205957782,16.374966314734575,6.1903154058531475,Sports
CrazyFamilyCrazyFamily ,11.247656987355347,16.036412924188348,5.41610040220442,Comedy
小包小包小包小包 ,11.238488619268468,16.947165282034163,5.805134968916488,Gaming
凍檸走杯 SamChanX凍檸走杯 SamChanX ,11.23453343942554,14.695684873366492,4.204692619390966,Film & Animation
WillWill FunHouseWillWill FunHouse ,11.231887935237117,17.127201306618712,7.684324067681155,Gaming
麦总去哪吃麦总去哪吃 ,11.231887935237117,17.58781070025366,5.739792912179234,Howto & Style
CommaComma ,11.226575837752225,16.086361300927898,6.206575926724928,Education
Ryan wsRyan ws ,11.219895786191852,17.473169097042174,7.917171988845776,Gaming
PressLogic 女生日常PressLogic 女生日常 ,11.214519429155471,16.548785067679844,6.483107351457199,People & Blogs
Dora 多啦Dora 多啦 ,11.211820372186306,16.025179493195033,5.0106352940962555,People & Blogs
赶海联盟赶海联盟 ,11.210468106936293,16.314302936573885,2.5649493574615367,Howto & Style
GF vs GFGF vs GF ,11.207758078177427,16.096620195264585,4.844187086458591,People & Blogs
一只黑糖啵啵🐻一只黑糖啵啵🐻 ,11.19684391799675,16.644695741039097,3.9889840465642745,Entertainment
Sonic & SnakeSonic & Snake ,11.188579408146856,17.83235653459911,6.727431724850855,Gaming
Peachy Bunny BakesPeachy Bunny Bakes ,11.188579408146856,15.469358388615484,4.77912349311153,Howto & Style
